STATION,NAME,DATE,TMAX,TMIN,WDFG,WSFG
SPW00013025,"ROTA NAS, SP",6/12/1970,79,57,270,20.8
SPW00013025,"ROTA NAS, SP",6/13/1970,73,59,293,23
SPW00013025,"ROTA NAS, SP",6/14/1970,74,58,270,18.3
SPW00013025,"ROTA NAS, SP",6/15/1970,73,62,248,20.8
SPW00013025,"ROTA NAS, SP",6/16/1970,72,57,248,17.2
SPW00013025,"ROTA NAS, SP",6/17/1970,69,58,248,24.2
SPW00013025,"ROTA NAS, SP",6/18/1970,70,57,180,19.5
SPW00013025,"ROTA NAS, SP",6/19/1970,73,54,270,17.2
SPW00013025,"ROTA NAS, SP",6/20/1970,85,55,270,15
SPW00013025,"ROTA NAS, SP",6/21/1970,87,55,270,18.3
SPW00013025,"ROTA NAS, SP",6/22/1970,81,55,270,15
SPW00013025,"ROTA NAS, SP",6/23/1970,78,53,248,12.8
SPW00013025,"ROTA NAS, SP",6/24/1970,89,58,135,25.3
SPW00013025,"ROTA NAS, SP",6/25/1970,88,64,113,20.8
SPW00013025,"ROTA NAS, SP",6/26/1970,85,60,270,18.3
SPW00013025,"ROTA NAS, SP",6/27/1970,74,64,180,16.1
SPW00013025,"ROTA NAS, SP",6/28/1970,82,59,270,17.2
SPW00013025,"ROTA NAS, SP",6/29/1970,88,59,270,11.4
SPW00013025,"ROTA NAS, SP",6/30/1970,88,59,293,15
SPW00013025,"ROTA NAS, SP",7/1/1970,92,60,248,13.9
SPW00013025,"ROTA NAS, SP",7/2/1970,86,65,270,16.1
SPW00013025,"ROTA NAS, SP",7/3/1970,89,64,293,18.3
SPW00013025,"ROTA NAS, SP",7/4/1970,85,62,180,15
SPW00013025,"ROTA NAS, SP",7/5/1970,92,70,113,31.1
SPW00013025,"ROTA NAS, SP",7/6/1970,91,68,180,24.2
SPW00013025,"ROTA NAS, SP",7/7/1970,78,62,270,21.9
SPW00013025,"ROTA NAS, SP",7/8/1970,75,61,270,20.8
SPW00013025,"ROTA NAS, SP",7/9/1970,83,63,270,19.5
SPW00013025,"ROTA NAS, SP",7/10/1970,83,60,158,15
SPW00013025,"ROTA NAS, SP",7/11/1970,91,60,135,18.3
SPW00013025,"ROTA NAS, SP",7/12/1970,95,63,68,12.8
SPW00013025,"ROTA NAS, SP",7/13/1970,93,64,270,17.2
SPW00013025,"ROTA NAS, SP",7/14/1970,84,62,270,20.8
SPW00013025,"ROTA NAS, SP",7/15/1970,90,68,270,13.9
SPW00013025,"ROTA NAS, SP",7/16/1970,92,70,158,28.9
SPW00013025,"ROTA NAS, SP",7/17/1970,92,71,113,20.8
SPW00013025,"ROTA NAS, SP",7/18/1970,92,70,135,18.3
SPW00013025,"ROTA NAS, SP",7/19/1970,85,65,293,17.2
SPW00013025,"ROTA NAS, SP",7/20/1970,83,62,248,13.9
SPW00013025,"ROTA NAS, SP",7/21/1970,78,62,225,15
SPW00013025,"ROTA NAS, SP",7/22/1970,75,65,270,18.3
SPW00013025,"ROTA NAS, SP",7/23/1970,83,58,293,17.2
SPW00013025,"ROTA NAS, SP",7/24/1970,91,61,293,18.3
SPW00013025,"ROTA NAS, SP",7/25/1970,101,65,360,18.3
SPW00013025,"ROTA NAS, SP",7/26/1970,92,71,90,18.3
SPW00013025,"ROTA NAS, SP",7/27/1970,86,69,158,16.1
SPW00013025,"ROTA NAS, SP",7/28/1970,85,64,270,16.1
SPW00013025,"ROTA NAS, SP",7/29/1970,89,64,270,19.5
SPW00013025,"ROTA NAS, SP",7/30/1970,79,67,203,15
SPW00013025,"ROTA NAS, SP",7/31/1970,82,63,270,16.1
SPW00013025,"ROTA NAS, SP",8/1/1970,92,66,135,25.3
SPW00013025,"ROTA NAS, SP",8/2/1970,81,70,135,21.9
SPW00013025,"ROTA NAS, SP",8/3/1970,80,68,248,16.1
SPW00013025,"ROTA NAS, SP",8/4/1970,78,64,270,21.9
SPW00013025,"ROTA NAS, SP",8/5/1970,77,66,293,17.2
SPW00013025,"ROTA NAS, SP",8/6/1970,86,55,293,18.3
SPW00013025,"ROTA NAS, SP",8/7/1970,91,58,315,19.5
SPW00013025,"ROTA NAS, SP",8/8/1970,95,62,293,17.2
SPW00013025,"ROTA NAS, SP",8/9/1970,86,65,293,19.5
SPW00013025,"ROTA NAS, SP",8/10/1970,82,63,203,19.5
SPW00013025,"ROTA NAS, SP",8/11/1970,85,64,293,15
SPW00013025,"ROTA NAS, SP",8/12/1970,86,62,90,15
SPW00013025,"ROTA NAS, SP",8/13/1970,80,63,248,18.3
SPW00013025,"ROTA NAS, SP",8/14/1970,79,61,270,18.3
SPW00013025,"ROTA NAS, SP",8/15/1970,83,59,270,17.2
SPW00013025,"ROTA NAS, SP",8/16/1970,84,56,315,17.2
SPW00013025,"ROTA NAS, SP",8/17/1970,89,58,293,20.8
SPW00013025,"ROTA NAS, SP",8/18/1970,83,60,293,19.5
SPW00013025,"ROTA NAS, SP",8/19/1970,78,62,270,24.2
SPW00013025,"ROTA NAS, SP",8/20/1970,79,58,270,21.9
SPW00013025,"ROTA NAS, SP",8/21/1970,75,56,248,17.2
SPW00013025,"ROTA NAS, SP",8/22/1970,79,57,270,17.2
SPW00013025,"ROTA NAS, SP",8/23/1970,79,60,270,17.2
SPW00013025,"ROTA NAS, SP",8/24/1970,91,58,135,21.9
SPW00013025,"ROTA NAS, SP",8/25/1970,91,63,158,26.4
SPW00013025,"ROTA NAS, SP",8/26/1970,79,67,203,24.2
SPW00013025,"ROTA NAS, SP",8/27/1970,87,65,248,20.8
SPW00013025,"ROTA NAS, SP",8/28/1970,78,64,248,16.1
SPW00013025,"ROTA NAS, SP",8/29/1970,80,63,315,15
SPW00013025,"ROTA NAS, SP",8/30/1970,87,59,270,12.8
SPW00013025,"ROTA NAS, SP",8/31/1970,96,63,158,23
SPW00013025,"ROTA NAS, SP",9/1/1970,100,72,90,23
SPW00013025,"ROTA NAS, SP",9/2/1970,98,68,68,16.1
SPW00013025,"ROTA NAS, SP",9/3/1970,92,67,158,15
SPW00013025,"ROTA NAS, SP",9/4/1970,94,71,135,40.3
SPW00013025,"ROTA NAS, SP",9/5/1970,96,75,158,26.4
SPW00013025,"ROTA NAS, SP",9/6/1970,92,71,135,26.4
SPW00013025,"ROTA NAS, SP",9/7/1970,80,67,293,21.9
SPW00013025,"ROTA NAS, SP",9/8/1970,83,64,270,24.2
SPW00013025,"ROTA NAS, SP",9/9/1970,80,58,293,20.8
SPW00013025,"ROTA NAS, SP",9/10/1970,75,57,293,21.9
SPW00013025,"ROTA NAS, SP",9/11/1970,75,59,360,23
SPW00013025,"ROTA NAS, SP",9/12/1970,77,52,338,21.9
SPW00013025,"ROTA NAS, SP",9/13/1970,78,50,270,13.9
SPW00013025,"ROTA NAS, SP",9/14/1970,79,55,338,17.2
SPW00013025,"ROTA NAS, SP",9/15/1970,83,57,315,21.9
SPW00013025,"ROTA NAS, SP",9/16/1970,86,58,113,30
SPW00013025,"ROTA NAS, SP",9/17/1970,89,71,113,35.6
SPW00013025,"ROTA NAS, SP",9/18/1970,87,64,113,33.3
SPW00013025,"ROTA NAS, SP",9/19/1970,90,59,135,31.1
SPW00013025,"ROTA NAS, SP",9/20/1970,93,60,113,32.2
SPW00013025,"ROTA NAS, SP",9/21/1970,96,73,113,26.4
SPW00013025,"ROTA NAS, SP",9/22/1970,87,63,113,18.3
SPW00013025,"ROTA NAS, SP",9/23/1970,73,57,180,20.8
SPW00013025,"ROTA NAS, SP",9/24/1970,78,57,293,17.2
SPW00013025,"ROTA NAS, SP",9/25/1970,73,57,203,16.1
SPW00013025,"ROTA NAS, SP",9/26/1970,79,57,225,16.1
SPW00013025,"ROTA NAS, SP",9/27/1970,87,59,90,28.9
SPW00013025,"ROTA NAS, SP",9/28/1970,85,69,135,36.7
SPW00013025,"ROTA NAS, SP",9/29/1970,85,67,113,41.4
SPW00013025,"ROTA NAS, SP",9/30/1970,87,60,113,30
SPW00013025,"ROTA NAS, SP",10/1/1970,87,57,293,17.2
SPW00013025,"ROTA NAS, SP",10/2/1970,92,60,45,25.3
SPW00013025,"ROTA NAS, SP",10/3/1970,93,58,45,17.2
SPW00013025,"ROTA NAS, SP",10/4/1970,85,58,135,20.8
SPW00013025,"ROTA NAS, SP",10/5/1970,85,57,135,24.2
SPW00013025,"ROTA NAS, SP",10/6/1970,75,58,180,19.5
SPW00013025,"ROTA NAS, SP",10/7/1970,73,60,248,21.9
SPW00013025,"ROTA NAS, SP",10/8/1970,66,54,225,20.8
SPW00013025,"ROTA NAS, SP",10/9/1970,65,51,315,15
SPW00013025,"ROTA NAS, SP",10/10/1970,69,50,68,15
SPW00013025,"ROTA NAS, SP",10/11/1970,73,52,270,17.2
SPW00013025,"ROTA NAS, SP",10/12/1970,70,50,270,13.9
SPW00013025,"ROTA NAS, SP",10/13/1970,80,52,45,20.8
SPW00013025,"ROTA NAS, SP",10/14/1970,79,51,135,18.3
SPW00013025,"ROTA NAS, SP",10/15/1970,83,55,135,23
SPW00013025,"ROTA NAS, SP",10/16/1970,79,53,135,21.9
SPW00013025,"ROTA NAS, SP",10/17/1970,80,63,113,26.4
SPW00013025,"ROTA NAS, SP",10/18/1970,82,55,113,21.9
SPW00013025,"ROTA NAS, SP",10/19/1970,78,54,270,17.2
SPW00013025,"ROTA NAS, SP",10/20/1970,69,52,315,21.9
SPW00013025,"ROTA NAS, SP",10/21/1970,72,52,45,23
SPW00013025,"ROTA NAS, SP",10/22/1970,68,45,45,39.1
SPW00013025,"ROTA NAS, SP",10/23/1970,70,41,113,28.9
SPW00013025,"ROTA NAS, SP",10/24/1970,73,44,113,28.9
SPW00013025,"ROTA NAS, SP",10/25/1970,74,58,113,34.4
SPW00013025,"ROTA NAS, SP",10/26/1970,76,48,113,24.2
SPW00013025,"ROTA NAS, SP",10/27/1970,72,51,135,24.2
SPW00013025,"ROTA NAS, SP",10/28/1970,75,60,135,24.2
SPW00013025,"ROTA NAS, SP",10/29/1970,73,57,113,24.2
SPW00013025,"ROTA NAS, SP",10/30/1970,75,59,135,30
SPW00013025,"ROTA NAS, SP",10/31/1970,79,51,113,24.2
SPW00013025,"ROTA NAS, SP",11/1/1970,82,52,135,17.2
SPW00013025,"ROTA NAS, SP",11/2/1970,83,50,135,13.9
SPW00013025,"ROTA NAS, SP",11/3/1970,81,48,225,9.2
SPW00013025,"ROTA NAS, SP",11/4/1970,83,45,135,13.9
SPW00013025,"ROTA NAS, SP",11/5/1970,83,43,45,9.2
SPW00013025,"ROTA NAS, SP",11/6/1970,76,48,248,10.3
SPW00013025,"ROTA NAS, SP",11/7/1970,67,54,293,21.9
SPW00013025,"ROTA NAS, SP",11/8/1970,71,54,113,28.9
SPW00013025,"ROTA NAS, SP",11/9/1970,77,54,113,25.3
SPW00013025,"ROTA NAS, SP",11/10/1970,73,48,113,23
SPW00013025,"ROTA NAS, SP",11/11/1970,73,49,90,31.1
SPW00013025,"ROTA NAS, SP",11/12/1970,67,55,90,25.3
SPW00013025,"ROTA NAS, SP",11/13/1970,60,51,293,23
SPW00013025,"ROTA NAS, SP",11/14/1970,63,49,270,17.2
SPW00013025,"ROTA NAS, SP",11/15/1970,64,49,315,19.5
SPW00013025,"ROTA NAS, SP",11/16/1970,65,46,293,15
SPW00013025,"ROTA NAS, SP",11/17/1970,68,45,270,12.8
SPW00013025,"ROTA NAS, SP",11/18/1970,67,48,225,19.5
SPW00013025,"ROTA NAS, SP",11/19/1970,67,60,225,23
SPW00013025,"ROTA NAS, SP",11/20/1970,69,56,225,23
SPW00013025,"ROTA NAS, SP",11/21/1970,66,52,248,28.9
SPW00013025,"ROTA NAS, SP",11/22/1970,68,47,23,17.2
SPW00013025,"ROTA NAS, SP",11/23/1970,74,50,113,27.5
SPW00013025,"ROTA NAS, SP",11/24/1970,63,58,180,33.3
SPW00013025,"ROTA NAS, SP",11/25/1970,71,57,113,33.3
SPW00013025,"ROTA NAS, SP",11/26/1970,73,61,68,39.1
SPW00013025,"ROTA NAS, SP",11/27/1970,72,60,113,27.5
SPW00013025,"ROTA NAS, SP",11/28/1970,72,59,113,27.5
SPW00013025,"ROTA NAS, SP",11/29/1970,67,53,270,26.4
SPW00013025,"ROTA NAS, SP",11/30/1970,64,51,360,12.8
SPW00013025,"ROTA NAS, SP",12/1/1970,65,44,23,20.8
SPW00013025,"ROTA NAS, SP",12/2/1970,65,44,23,16.1
SPW00013025,"ROTA NAS, SP",12/3/1970,67,44,45,12.8
SPW00013025,"ROTA NAS, SP",12/4/1970,65,43,23,12.8
SPW00013025,"ROTA NAS, SP",12/5/1970,66,45,113,10.3
SPW00013025,"ROTA NAS, SP",12/6/1970,68,49,45,11.4
SPW00013025,"ROTA NAS, SP",12/7/1970,66,47,158,9.2
SPW00013025,"ROTA NAS, SP",12/8/1970,57,42,23,32.2
SPW00013025,"ROTA NAS, SP",12/9/1970,55,32,113,30
SPW00013025,"ROTA NAS, SP",12/10/1970,63,53,203,46.1
SPW00013025,"ROTA NAS, SP",12/11/1970,62,47,338,17.2
SPW00013025,"ROTA NAS, SP",12/12/1970,62,42,45,17.2
SPW00013025,"ROTA NAS, SP",12/13/1970,63,42,23,16.1
SPW00013025,"ROTA NAS, SP",12/14/1970,58,42,360,15
SPW00013025,"ROTA NAS, SP",12/15/1970,56,36,23,20.8
SPW00013025,"ROTA NAS, SP",12/16/1970,57,34,45,19.5
SPW00013025,"ROTA NAS, SP",12/17/1970,56,32,23,18.3
SPW00013025,"ROTA NAS, SP",12/18/1970,57,36,23,17.2
SPW00013025,"ROTA NAS, SP",12/19/1970,61,34,45,10.3
SPW00013025,"ROTA NAS, SP",12/20/1970,62,36,135,17.2
SPW00013025,"ROTA NAS, SP",12/21/1970,56,36,23,16.1
SPW00013025,"ROTA NAS, SP",12/22/1970,58,37,45,18.3
SPW00013025,"ROTA NAS, SP",12/23/1970,53,34,23,17.2
SPW00013025,"ROTA NAS, SP",12/24/1970,48,30,45,24.2
SPW00013025,"ROTA NAS, SP",12/25/1970,55,25,90,10.3
SPW00013025,"ROTA NAS, SP",12/26/1970,48,36,45,34.4
SPW00013025,"ROTA NAS, SP",12/27/1970,54,40,360,19.5
SPW00013025,"ROTA NAS, SP",12/28/1970,45,39,45,28.9
SPW00013025,"ROTA NAS, SP",12/29/1970,53,36,225,44.7
SPW00013025,"ROTA NAS, SP",12/30/1970,53,44,293,34.4
SPW00013025,"ROTA NAS, SP",12/31/1970,52,40,45,34.4
SPW00013025,"ROTA NAS, SP",1/1/1971,47,33,23,31.1
SPW00013025,"ROTA NAS, SP",1/2/1971,45,28,45,15
SPW00013025,"ROTA NAS, SP",1/3/1971,53,38,135,32.2
SPW00013025,"ROTA NAS, SP",1/4/1971,50,37,45,12.8
SPW00013025,"ROTA NAS, SP",1/5/1971,60,42,248,20.8
SPW00013025,"ROTA NAS, SP",1/6/1971,56,43,23,23
SPW00013025,"ROTA NAS, SP",1/7/1971,61,38,113,18.3
SPW00013025,"ROTA NAS, SP",1/8/1971,61,44,90,30
SPW00013025,"ROTA NAS, SP",1/9/1971,66,41,113,18.3
SPW00013025,"ROTA NAS, SP",1/10/1971,62,38,180,11.4
SPW00013025,"ROTA NAS, SP",1/11/1971,60,51,180,27.5
SPW00013025,"ROTA NAS, SP",1/12/1971,62,50,225,17.2
SPW00013025,"ROTA NAS, SP",1/13/1971,57,45,225,23
SPW00013025,"ROTA NAS, SP",1/14/1971,57,44,315,12.8
SPW00013025,"ROTA NAS, SP",1/15/1971,57,38,315,10.3
SPW00013025,"ROTA NAS, SP",1/16/1971,57,38,23,13.9
SPW00013025,"ROTA NAS, SP",1/17/1971,60,50,293,39.1
SPW00013025,"ROTA NAS, SP",1/18/1971,57,49,315,19.5
SPW00013025,"ROTA NAS, SP",1/19/1971,64,58,248,32.2
SPW00013025,"ROTA NAS, SP",1/20/1971,61,48,225,41.4
SPW00013025,"ROTA NAS, SP",1/21/1971,61,53,293,46.1
SPW00013025,"ROTA NAS, SP",1/22/1971,60,51,248,28.9
SPW00013025,"ROTA NAS, SP",1/23/1971,65,58,270,24.2
